                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.82,                  3.759,                   2.03,                0.00415,                0.66667,                0.12512,                0.05879,                 1.0698,                 3.3433,                 1.4828,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.5242,                  3.837,                 1.7963,                0.00415,                0.66667,                0.31773,                0.12055,                 1.1218,                  3.323,                 1.4878,             7.5098e-05,             7.5098e-05,             7.5098e-05
                      3,                 1.5792,                 3.7615,                  1.891,                0.00262,                    0.5,                0.45625,                0.39434,                0.89559,                 3.3347,                 1.3158,             0.00010695,             0.00010695,             0.00010695
                      4,                 1.0156,                 3.2215,                 1.4713,                0.00415,                0.66667,                0.49849,                0.39335,                0.93353,                 3.2964,                 1.3105,             0.00012891,             0.00012891,             0.00012891
                      5,                0.84049,                 2.7635,                  1.416,                 0.0055,                0.83333,                0.49969,                 0.3867,                0.90561,                 3.1276,                 1.2403,             0.00014096,             0.00014096,             0.00014096
                      6,                 0.9657,                 2.6157,                 1.4333,                0.00551,                0.83333,                0.49962,                0.45447,                 0.9377,                 3.0044,                 1.2681,             0.00014311,             0.00014311,             0.00014311
                      7,                0.86151,                 2.2904,                 1.4011,                0.00553,                0.83333,                0.49958,                0.43248,                0.94319,                 2.9184,                 1.3056,             0.00013536,             0.00013536,             0.00013536
                      8,                0.82226,                 2.1258,                 1.3736,                0.00555,                0.83333,                0.49951,                0.43257,                0.92749,                 2.9034,                 1.2785,             0.00011771,             0.00011771,             0.00011771
                      9,                0.78503,                 1.9745,                 1.3463,                0.00558,                0.83333,                0.49942,                0.47107,                 0.9008,                 2.8852,                 1.2278,             9.0151e-05,             9.0151e-05,             9.0151e-05
                     10,                0.80771,                 1.9512,                 1.2994,                0.00452,                0.66667,                0.49824,                0.47032,                0.88775,                 2.8659,                 1.2056,             5.2694e-05,             5.2694e-05,             5.2694e-05
